,title,review,rating,author,review_date
82,Super bright little lights that work well.,"Super bright little flashlights. The focus on them is fun, but usually not very necessary. They seem like they can handle a pretty good beating. I carry one on my belt at work as it is compact, lightweight, and it comes in really handy. The only complaint I have is I wish the belt clip was heavier; I snagged it on my bench the other day while I was working and bent it all up. I took off the clip (held on by two small allen screws) and applied some love with a pair of pliers and it works great again. I don't know if anyone else would have this problem and it's easy to fix, so it's not worth taking off a star. I may make a heavier clip for it myself though.Overall, they do what I expect them to do.",5,DBK_Cali,2017-03-11
83,Better than I was expecting for the price and super ...,Better than I was expecting for the price and super bright for how tiny they are. If you put a good AA battery in them you will be stoked. I like that the light can focus in on small spaces. Good for exploring tight spaces. I would imagine they would be good in the mechanic industry. I mostly bought them for walking at night so people dont run me over. And for going into tunnels and sewage drains to look for clowns and stuff.,4,Nicholas Kisling,2018-04-06
84,Perfect!,These guys are perfect. I love their little size. And even though small they provide so much light. I love that I can spotlight or shine a large area. I am very satisfied and would order another one of these packs anytime!,5,Ronnie945,2017-11-20
85,Smaller than they look,"They are quite bright and seem to be solidly constructed, but the picture made them seem a bit larger than they really are. They can only hold one AA battery, so if you're expecting the larger kind with the caddy that holds three AAA batteries, you will be a bit disappointed. That said, even as small as they are, the price is very good.",4,Däch,2018-04-08
86,Bright little flashlights!!,"Great little flashlights! When we got them, we put the AA batteries in ( 1 per light) and they worked perfectly! When you click the button the light come on bright, click it again, and it's a different brightness, click it a 3rd time, and it strobes! They even have a little clip on it for a belt or a backpack! When you turn the front edge if it, the ""circle"" of light gets larger and smaller... this will be perfect for camping!!",5,Ronda Reigada,2017-04-15
87,"Tough, bright, compact and inexpensive, what more could one want?","The preformance and quality of these little flashlights is amazing.  I haven't used one long enough to expend the single AA cell but the amount of light they put out from 1.5 volts defies belief.  The color temperature is higher (bluer) than I would like for longer duration use, their small size makes up for that in convenience and their billet aluminum housing is as rugged as more expensive competitors",5,Robert Wenaas,2017-10-23
88,One of mine had a bad switch.,"They aren't bad lights, Really bright, lightly depress the switch and release to change the operating mode, I Just happened to get one with a bad switch, It pops loudly, occasionally doesn't work or won't turn off. The other flashlight is fine. Oh, the fluorescent lines? Those are silicone/rubber bands that glow in the dark.",3,Terry,2018-04-05
89,Five Stars,Great little flashlights.,5,KBOWDRUMS,2018-03-10
90,Amazing!!!!,"I received this light couple days ago. I was actually amazed how bright it is. Blindingly so. Focuses from beam to spot. I'm using it with a 2000 mAh NiMH AA battery. It seems to be made of pretty resilient materials. The strobe mode was an added plus not mentioned in the specs. I plan to use the light as a backup signal device for night walk. I was so impressed, I just ordered 2 more for my family. Highly recommends!!!!",5,Sandy Chen,2017-05-22
92,Dangerous,"One worked fine but the other heated up to an unsafe temperature, hot enough we removed the battery and disposed of it. If we had left it much longer it could have been seriously bad news.",1,Josh Hollingsworth,2017-08-14
93,Great EDC light,"These were purchased as gifts.  Both recipients are very happy with the lights.  These are being used as Every Day Carry (EDC) tools.  These have been in daily carry/use for three months with no complaints.  Very bright, work great, good battery life and a variable beam at a great price....what is not to like?Remember...it is not a Streamlight, SureFire, Fenix, etc....but it works, and it's 5$.  Worth every penny!",5,Mars24,2017-03-09
94,Good but TINY,"These are extremely tiny, they fit in the palm of my tiny lady hands but they are powerful and work great....I just want people to know because the picture can be deceiving.  I would still recommend these as I use them alot.",4,Mar Quise,2017-10-03
95,"The others are fine, but disappointing to have one be defective","One of the four flashlights doesn't work.  The others are fine, but disappointing to have one be defective.  Actually,a second one has stopped working.  I am going to see if I can contact the seller.",1,Rosalie,2017-09-04
96,Five Stars,Excellent deal for a pair of probably most efficient flashlights ever invented.,5,Amazon Customer,2018-03-12
97,These are great little flashlights for the price,"Nice sized, bright flashlights. They have 3 settings - bright, dim and strobe, and you can adjust the lens so it either floods or is very narrow. You really can't beat them for the price, and the form factor is great for throwing one in a drawer, one in your truck, etc.Also running on only 1 AA battery is nice! Battery is not included though.",4,the eliminator,2017-09-22
98,Good could be better,"So far these seem like good solid lights I would compare them to the ""csi"" nebo lights the only thing I would like better is if you could make then only bright mode and not have to cycle the switch 3 times through dim and strobe to get to bright again",4,RimRock,2017-05-22
99,"Faulty, low quality",Price is too good to be true. Don’t expect them to last. One of mine just died and the other only flashes?!?! It’s been 2 months so I can’t return. Not happy! Good luck!,1,Chip Johnson,2018-02-17
100,Perfect size for dusk dog walking,"I bought these in lightening deal not entirely realizing the compact size (my husband is a flashlight fanatic). Wow, was I ever excited to open these up and realizing they fit into my dog walking bag. It's also a nice compact size to stash in my center console. Needless to say, hubby hasn't gotten one finger on these flashlights. These are mine, all mine.",5,Crazy Cattle Dog Lady,2017-07-13
102,One Star,little rust inside and poor quality,1,Joe,2017-06-27
103,Arrived fast and in perfect condition. Using 2 in motorhome for camping and ...,"Arrived fast and in perfect condition.  Using 2 in motorhome for camping and 2 for home.  Tried one out at it has a very bright light for its size.  Am going to love carrying a smaller, lighter flashlight around.  Has a clip to hang on belt or purse.  Thanks for a great product.",5,HMSSMS,2018-04-09
106,like they like to do,"I needed two mini flashlights to keeps by my kids' bedside ... these work perfectly.  They are the right brightness for using when you need to get up out of bed in a dark room -- not blinding, but fully illuminates what you shine it on.  Actually brightened the whole room.  Not blinding when kids shine it at each other, like they like to do!  Great product for the price.",5,Meghan,2017-05-23
107,These flashlights are AWESOME!!,"These flashlights are AWESOME!!! They are very compact and do the job they need to do. They are great for around the house. Keep one in the car in case you break down. They have that neat flashing feature to warn other motorists. Take one with you while you are out walking or while you are out with your pets. The little pocket clip is a bonus. I think for the money and the size, this is the best flashlight I've ever bought.",5,A. Brubaker,2018-01-06
108,These flashlights are so valuable and they are very easy to carry,"These flashlights are so valuable and they are very easy to carry, also they are very bright, i think i spent 10 dollars very worthy that hard to find another place!",5,Harris,2018-03-17
109,Super bright and light weight,"These flashlights are the most recent addition to my emergency/camping equipment. They are super bright and only require one battery. You can use them as a spotlight or wide light which is convenient. I love how light weight they are and they have a clip that allows you to keep them on your belt, hat, or backpack and in easy reach. I will be purchasing more!",5,amber pafford,2017-05-01
110,Rockbirds LED Flashlight,"Bought these little Led flashlights for my grandsons. I don't know why but all my grandkids love flashlights I can't ever have too many.This is the type of flashlight that they can just slip into their pocket without feeling bulky and heavy.Great product for the price. Only downside is that I didn't think they were very bright, but the boys love them.",5,Kami Christian,2017-05-23
111,Uses focused beam rather than bright LEDs,"These RockBirds 7W LED Mini Tactical flashlights are not that bright (but many LEDs flashlights are really too bright for most uses). They use a lens to give a highly focused beam, which isn't very good for just walking around. I like that they don't need special batteries, just AAs",2,Josquin DesPrez,2018-01-10
112,"Don't Think, Perfect High Quality Carry Ons","Bright as can be. Best survival kit addition. You should buy two of these sets. One for your back pack, one for you car, one for your apartment, and one for your travel bag. Seriously a great flashlight to carry along with you, everywhere. Very bright, focused and wide light adjustments, and durable!Buy buy buy! Ok Bye",5,Julio Caezar,2017-08-01
113,Very sad bout this,Was really excited for these lights. Poor quality the on/off button on one is failing it doesn't turn on and the others internals aren't holding together where it should slide to zoom very disappointed in this product.,1,Amazon Customer,2017-08-09
114,Amazingly bright flashlight,"These little flashlights outshine some of the bigger flashlights I've taken with me on camping trips.  I also really like the strobe feature, if I ever became lost in the woods, this would come in handy for flagging down assistance.  The flashlight also has a clip on it, which makes it very convenient for attaching to my waist or my backpack.",5,Jonathan Tilley,2017-05-23
115,Very bright and tough,"These give amazing light and are very sturdy. A bit heavy for a compact light, but the clip makes it easy to carry. I ordered them for our hurricane supply kit after Irma hit us. We've used them several times and were so pleased that I got them  for my brother too.",5,Tracey C,2018-02-18
116,Good working flashlights.,"I used this type of flashlights before (they are rather generic), and these also perform as well or better than many brand name units. One thing to make sure is to tighten the clip screws using thread locker, as those screws tend to get loose over time and my get lost rendering the clip useless.",5,Vladimir Vinokurov,2017-10-24
117,Perfect size Flashlight for small spaces,"Definitely a fan of these flashlights, they are small but very bright. Really good quality and the clip on them is perfect for outdoor activities when not in use. The perfect size to keep in a convenient place, I put one in my glove compartment and another in my first aid kit. Definitely recommend these as you get an excellent product for the price.",5,Alex,2017-04-03
118,"Awesome flashlights, small and portable.","Really cool little flashlights. These are fairly small and light but they are also very sturdy. They do not feel cheap or weak in any way. Really nice quality, well made. I like that they are small, makes them super portable. I also like the adjustable focus feature, could come in handy. I definitely like these and can surely recommend this product.",5,Runya,2017-03-26
119,Great compact flashlights,"I used these flashlights at night when I take my dog out. They are very bright and work great. They are so small they fit in your pocket! I actually keep one on the leash at night. You can tell it's made of great quality! I can't believe 2 were only $10, it's an amazing value. You need these if you go outside in the dark at all!",5,Christine,2017-05-29
120,Bright and well made,"These little flash lights are so useful! I love the fact they are small enough to fit in my handbag, glove box or clip on my pocket. I was not expecting the light to be so bright, they are actually brighter than a bigger much more expensive flashlight my husband keeps in the garage. I will be purchasing a second set to keep in our camper!",5,Jessica,2017-04-19
121,0/2 working flashlights.  complete garbage.,"So the one I could open to put a battery works ok, but the other one doesn't unscrew so its useless.  Not a great deal.update (5 minutes later) After taking the battery out and trying to reassemble the one that worked, the housing which holds the lens over the LED came off, so 100% garbage.  stay away.",1,Amazon Customer,2018-04-04
122,Great little flashlights that put out Great light,"Great little flashlights that put out Great light. I recently started with a volunteer Fire Department and was looking for tools to fill my pockets with. Flashlights are one of those key tools. This little flashlight is simple to use and even with it being so small and with wearing gloves, it is easy to turn on and off. Definitely worth the buy.",5,Chris C,2017-03-17
123,Sturdy little lights,"These are sturdy little flashlights that we plan to use in our kayaks in case we need a light. They are a lot sturdier than I would have thought for the price, and they have the flashing lights that would be of use if we find ourselves stranded out at night.",5,S. E. Jelliff,2018-04-11
124,great flashlight(s),"great flashlight, and whats even better is that they come in a pair!!  and a great size, they easily fit in your pocket or sporting vest.  Click the on/off button 1/2 way and you get the strobe effect.  Strobe effect is great for walking at night making yourself more visible to cars, or also great for self defense if needed.",5,~*~Tracy~*~,2017-06-05
125,Will definitely come in handy,"Don't be fooled by the size of these flashlights. They might be mini, but they give off so much light. These two flashlights are so convenient and handy. The fact that they are small, they can fit anywhere (glove department, purse, pocket- there's even a clip that you can attach to your pocket). Will be a great addition to a survival kit.",5,Akisha B.,2017-04-03
126,It's little but mighty,Great little flashlight. At first glancethey look so little you wonder how much light they give. These little things give you just as much light as a full size flashlight but with the clip they fit anywhere!,5,Nicole W.,2017-04-12
127,Handy with the clip on side,"These are good to have everywhere, especially like the clips on side so handy. Great when walking dog after dark, in car, bedside, to hold somewhere while hands busy repairing anything. Not tremendously bright but worth owning. Great  stocking stuffers. Affordable.",5,CJ,2017-12-31
128,Dependable light,Very small and very bright. These fit easy into any pocket yet they are bright. They make a good every day carry light. Pair it with amazon rechargeable battery and you are ready to go.  The clip is sturdy and easy to clip onto the pocket.,5,shadowphx,2018-04-14
129,Nice small and handy flashlights,"Nice small and handy flashlights.  I kept one myself (always in my pocket), gave one to my wife and one to my grown-up son, and am keeping one in my car. Will be handy during very likely upcoming (now as the temperature has hit 100F) power outage and soon approaching Fall season's power outages.",5,SOR,2017-09-01
130,Bright and well made,"These little flash lights are so useful! I love the fact they are small enough to fit in my handbag, glove box or clip on my pocket. I was not expecting the light to be so bright, they are actually brighter than a bigger much more expensive flashlight my husband keeps in the garage. I will be purchasing a second set to keep in our camper!",5,Jessica,2017-04-19
131,0/2 working flashlights.  complete garbage.,"So the one I could open to put a battery works ok, but the other one doesn't unscrew so its useless.  Not a great deal.update (5 minutes later) After taking the battery out and trying to reassemble the one that worked, the housing which holds the lens over the LED came off, so 100% garbage.  stay away.",1,Amazon Customer,2018-04-04
132,Great little flashlights that put out Great light,"Great little flashlights that put out Great light. I recently started with a volunteer Fire Department and was looking for tools to fill my pockets with. Flashlights are one of those key tools. This little flashlight is simple to use and even with it being so small and with wearing gloves, it is easy to turn on and off. Definitely worth the buy.",5,Chris C,2017-03-17
133,Sturdy little lights,"These are sturdy little flashlights that we plan to use in our kayaks in case we need a light. They are a lot sturdier than I would have thought for the price, and they have the flashing lights that would be of use if we find ourselves stranded out at night.",5,S. E. Jelliff,2018-04-11
134,great flashlight(s),"great flashlight, and whats even better is that they come in a pair!!  and a great size, they easily fit in your pocket or sporting vest.  Click the on/off button 1/2 way and you get the strobe effect.  Strobe effect is great for walking at night making yourself more visible to cars, or also great for self defense if needed.",5,~*~Tracy~*~,2017-06-05
135,Will definitely come in handy,"Don't be fooled by the size of these flashlights. They might be mini, but they give off so much light. These two flashlights are so convenient and handy. The fact that they are small, they can fit anywhere (glove department, purse, pocket- there's even a clip that you can attach to your pocket). Will be a great addition to a survival kit.",5,Akisha B.,2017-04-03
136,It's little but mighty,Great little flashlight. At first glancethey look so little you wonder how much light they give. These little things give you just as much light as a full size flashlight but with the clip they fit anywhere!,5,Nicole W.,2017-04-12
137,Handy with the clip on side,"These are good to have everywhere, especially like the clips on side so handy. Great when walking dog after dark, in car, bedside, to hold somewhere while hands busy repairing anything. Not tremendously bright but worth owning. Great  stocking stuffers. Affordable.",5,CJ,2017-12-31
138,Dependable light,Very small and very bright. These fit easy into any pocket yet they are bright. They make a good every day carry light. Pair it with amazon rechargeable battery and you are ready to go.  The clip is sturdy and easy to clip onto the pocket.,5,shadowphx,2018-04-14
139,Nice small and handy flashlights,"Nice small and handy flashlights.  I kept one myself (always in my pocket), gave one to my wife and one to my grown-up son, and am keeping one in my car. Will be handy during very likely upcoming (now as the temperature has hit 100F) power outage and soon approaching Fall season's power outages.",5,SOR,2017-09-01
140,Great lights! Extremely bright,"Great lights!  Extremely bright.  The cost makes these quite the bargain.  I placed one in each of my cars.  I plan on buying more to put in my squad car for an emergency, and to carry while I am on duty.  By far the brightest light I have ever owned for the size.",5,BrianSalvi,2017-10-16
141,Zoom feature is great!,I own several smaller Cree LED flashlights and I'm very impressed by the performance for the size. This is a step up from the smaller lights and puts out some serious light. Brightest flashlight I've ever owned. Zoom feature is great!,5,Derek,2018-03-21
142,TERRIBLE,Complete junk.  Worked for like a day,1,KC,2017-07-12
143,Flashlights are ok better than I expected can't really beat 2 flashlights for ...,Flashlights are ok better than I expected can't really beat 2 flashlights for the price only had for a few days but so far so good.2nd review haven't had the flash lights longs and starting to not work thought was good first 2 weeks then work half the time,1,Vicki Church,2017-09-01
144,I am really pleased with this product,"I am really pleased with this product. They are lightweight and compact. They'll easily fit in my purse or even a pocket. The quality is great too,  they're really bright and easy to operate. All in all, I'm very happy with them. They also arrived quickly and were packaged securely. I'd absolutely order again.",5,debra,2017-04-21
146,I liked these. I didn't realize two came in the ...,"I liked these. I didn't realize two came in the package so I was pleasantly surprised. They are extremely bright (which my toddler loves, she uses them to shine on the ceiling during the day). And they only require one AA battery, which is better than some since I don't always have larger batteries on hand.",5,DMSAmazon Customer,2017-04-10
149,"good quality, bright enough","small in size, good quality, bright enough. The reason I purchased this is because the hook that coming with it. Before this, I lost many of the flashlight. Love the hooks, no need to worry that I gonna lost it again.",5,Ryan Shi,2018-04-03
151,meh,"They are okay, but not very bright if only using regular batteries.  Don't get these unless you want to invest in the extra powerful battery/charger.  This doesn't put out nearly the light that the duracell 350 puts out with 4 aaa batteries(I use rechargables)",3,Ivan's girl,2017-09-14
153,I am very happy with how well these lights have worked,These flash lights are small but they put off so much light. I bought these for my family and I to take to the beach and use them to go crab hunting. I am very happy with how well these lights have worked.Great quality and compact which makes it easier to take anywhere or carry in purse.,5,Jenna Buckman,2017-05-26
154,A very good product,"Incredible product for 9.99. I have rechargeable batteries and bought these because of hurricane Irma but the power save mode is much appreciated. It is very bright and the ability to focus the light if you need too is very helpful too. They are a little small (pocket sized) but they are quite strong. Like I said, incredible product for 9.99 ($5 each flashlight)",5,Pablo Caballero,2017-09-08
156,They worked well and I loved the clip,Bought these to keep on us during hurricane Irma. They worked well and I loved the clip. Made it a bit harder to lose track of.,5,amat92,2017-11-27
157,"One of the two flashlights works, one doesn't.","One of the two works fine, the other one does not work at all. It doesn't click, it seems all empty inside the orange ball, where it is supposed to click on and off. Cheap stuff, not worth to send back.",2,Sabine A.,2018-04-03
159,Powerful little handheld flashlights and extremely useful to have,"Powerful little handheld flashlights and extremely useful to have! They come in handy and I have them in several rooms, my car and tucked away where I would need them inthe dark. Easy to carry, they are unobtrusive so make it very easy to stash them.",5,Kathy w,2017-10-02
160,"Small, cheap flashlights but thats what we paid for, right?",Super cheap. These are kind of our tiny emergency flashlights so I wasn't expecting a big sturdy flashlight. These are barely bigger than chapstick and are not that easy to put batteries in. They work but I wouldn't buy again.,4,Brett Wilson,2018-01-14
161,Solid little light.,"Bright, well built, handy little flashlights.  Easy to carry in one's pocket.  Like that they only need a single AA battery.",5,circuitbored,2017-08-24
162,I really like these little flashlights,I really like these little flashlights.  They are perfect for keeping in your purse. They also can easily hook onto your waistband. This is what I carry for convenience and safety since they are such a compact size. Gave one to my teenage daughter too. The price is great for two,5,James Stallman,2017-05-28
164,Great little light for the money.,"I got this 2-pack for $8 shipped, so I guess there's little to complain about. I bought them for the cars since the small size doesn't require a space premium. Surprisingly bright for a single AA battery. I'm curious to try them with 14500 batteries to see how they perform. For the price, it can't be beat. They are solid and perform well. Definitely recommendable if on sale.",5,Aaron,2017-05-15
165,very bright led flashlights,Very bright flashlight. I like the LED glow vs the regular lens. Item come packed well in a box. Very good quality. Metal casing that can stand up to wear and tear. I plan on using these lights for emergency and also when we go camping. It is nice that there is a place to put a clip or lanyard.,5,Lauren Naturals,2017-03-14
167,"great, small and so bright","Tell you the truth... i bought them for my mother in law who was always complaining about not having flashlight when ahe loses power in the house and ahe bothered me to borrow mine. Now since I got her these flashlights she doesnt even use them and keep bugging me for flashlights... guess what i took flashlights back for myself and borrow her the ones i bought her... great , small and so bright... ask my mother in law!!",5,christyNsebastian,2017-03-09
168,"For the price, a good buy.","Pretty darn good for the price. Clip is stout. No batteries included, but it's a single AAA, and puts out enough light to see well. Had to figure out which end to unscrew as the machining was in good tolerances. That was fun. Glad there were two. For the price, can't beat it.",4,Road Scholar,2017-05-05
171,"Small and bright,  good handy personal light.","These are great little lights, small, cheap, and bright.  What more can I ask for... ?  Well, I could ask for a switch that always comes on in bright mode instead of the next mode from when you used it last, very annoying,  But overall, a handy little light to drop in your pocket.",5,Rich S,2017-05-22
172,Five Stars,These are great for work. Get the upgraded batteries,5,William Vuzzo,2018-03-18
173,All of them are working great. Bought some from another company in colors,"All of them are working great. Bought some from another company in colors, and a few had problems, so they are not prefect, but for the price, amazing even if one out of 10 does not work.Seem to use up batteries a bit faster, but with only one battery at a time, seems to be OK or on par with other flashlights on battery use.Have 10 now, all over house, use them all the time, fantastic.",5,Harvey Sherman,2017-01-03
174,WORST PRODUCT and CUSTOMER SERVICE,"Unable to open battery cap of flashlights. Contacted supplier, still no response. Worst Product & Service.",1,Sam,2017-10-22
175,Good value,"Nice, bright little flashlight for the money. I bought a couple to have on hand for power outages and I think these will be just what I need (although I have larger, camping lantern style lights if I need to light a bigger area).",5,A. Collins,2017-09-25
176,Great flashlights for the price.,"I loved these Rockbird flashlights. I already have these flashlights for over a year, and they still work wonderfully. I lived in Florida and they came in handy when we got hit with hurricane Irma.",5,Cris0911,2018-02-06
178,So much light from such a tiny flashlight,"Very happy with my purchase! They are tiny metalmagic flashlights as they illuminate so much light!!!Perfect feeling in your hand and great for kids as well! Three modes: bright light, refular light and strobing ligh.",5,svkru,2017-09-09
179,Five Stars,"GREAt, compact flashlight. Nice quality",5,PRT,2018-03-13
182,Multi purpose in a compact format,"Got these two flashlights on sale and well worth the price. Like the small compact size with a lot of light emanating from the bulbs. Great feature of bright, less bright, and a flasher. One is next to the bed, the other in the car for those emergencies. Also, like the ability to focus the beam when necessary. This is the kind of thing that you don't need until you get it. Highly recommend.",5,Atlanta Jake,2018-04-07
183,Great light and tough material for the price,"For the price I paid I expected to be no so tough, but they have lasted so far, and the light they provide is very bright, my only complain one of them had a defective switch, but was an easy task to tear it apart and fix it.",5,PHOENIX IKKI,2017-09-24
184,Small but very handy ;),Great light use it for work. Super bright and you can adjust if you want the beam to be narrow and bright or have it cover more ground but not as bright. I've used one for a couple hours and still have not needed to replace the battery so that's super nice.,5,Josh Pennay,2017-05-07
189,Five Stars,These little things pack a punch! They let out tons of light despite the small size.,5,Amazon Customer,2017-11-27
190,Campact and Bright light,"Love the size, husband and I just got back from a camping trip to the beach. At night we used the flashlights for sand crabs. Also perfect fit in the small pocket of my beach bag. Also has a belt clip, my husband wore his. Bright light and has a blinking setting.",5,Elizabeth,2017-05-29
192,Great small flashlight,"My husband works in the oilfield so I grabbed this two pack for him and his friend to use while at work. They are simple, only take 1 battery, and they really liked the brightness of the light and the fact that it has a tight clip on it so it stays in their pocket well.",5,Brittney Peebles,2017-03-30
193,My favorite small flashlight,"Really great flashlights, very bright, well made, for an excellent price.",5,ps,2017-11-03
196,Bright!,"These are tiny, but mighty. I can keep one in my pocket when needed. The light is very bright and illuminates well.",5,Rhonda,2017-06-03
197,Four Stars,Great product for the price!  Arrived as stated. Good packaging. Would recommend,4,Amazon Customer,2018-04-09
200,this isnt  the one,update. both flashlights have ceased working after less than a month. so the verdict is; do not buy this product.fantastic little flashlight!! very bright and love the zoom feature.  I use it to walk dogs in the dark and it is perfect.,1,dward,2017-10-17
201,Very powerful lights,"These are great handy little flashlights. I put one in my car and after using it my husband said he is taking my other one for his truck. I really love that you can adjust the light to sort of ""zoom in"" on something specific with the light.",5,CouponinPfeif,2017-04-11
202,"Well made, solid aluminum","Well made, solid aluminum.  Was tough to figure out how to unscrew it to put batteries in.  Its the little cap on the end where the push button on switch is.",4,Allstar,2018-04-14
203,They aren’t super high quality,"These are decent lights to keep around the house or in the car. They aren’t super high quality, one of mine the rubber cover over the on/off switch was installed wrong and it makes it hard to operate the light. I don’t think they are really 300 lumens either. I have a 300 lumen light that I compared it to and these are a lot dimmer. Good cheap flashlight.",3,Jeremy,2017-12-19
205,Impressed,"I typically do not write reviews, but I was impressed when I put in a AA battery. Very small flashlight, but super bright. I did not notice a big difference in brightness between the spray view and the focused view, but there could be a difference in distance (just guessing). My purpose for these was to be prepared during power outages and to maybe use while camping.  I am buying some more soon. I could see these as a nice gift.",5,DAN,2017-09-22
206,Not worth a 3star review.,Because they were $4 each that got them one star. Because they worked they got another. Because they did not work properly two stars is all they are worth.,2,Chazz,2018-04-11
207,For the price these are very nice and worth it,For the price these are very nice and worth it. They easily compete with my more expensive Fenix flashlights. I can't speak to battery life yet though. I am definitely happy so far with them. I will update this review if they break down or die quickly.,5,Rasalin,2017-08-02
208,under closet repair and kids love it for haunted house,"This is one of the must haves for each and every family. We used it for night time outdoor exploration, under closet repair and kids love it for haunted house.",5,Jing Zhang,2018-04-06
209,Love the daily dealz.,I purchased some larger flashlights recently but needed something that was easier to carry daily. I love the size and the build quality. Plus just one AA battery is nice. They are nice and bright and have a cool zoom feature.,5,Andy,2018-04-10
211,Love this flashlight!,Arrived on time and product is as depicted.  Great mini flashlights for the price.  Bought these for my husband who uses them at work.  Would definitely buy again,5,Susan,2018-04-07
212,Five Stars,"These small LED flashlights are wonderful!  Small enough to carry inconspicuously, yet still extremely bright when needed!!",5,Amazon Customer,2018-03-20
214,Just like other reviews say,"Just like other reviews say, there is 3 settings.  High, Low, and Strobe.  You can't just use one, so you will have to push the button to go through the three settings.  I have one set on high so when I go outside, and I have one set on the strobe that is locked up in the lockbox next to the pistol.",4,B,2017-04-12
215,These are super handy and bright,These are super handy and bright!  They fit in my pocket but can spot a coyote from a far  these are going to be my lifeline out here in the country this year!  So glad I purchased these and intend to order another set for my daughter.,5,Plussizemakeup,2017-04-13
216,"Great light, inexpensive","Great light, very bright for the price.  Don't really care for the strobe mode, and you have to cycle through it to get back to the brightest mode.  But what can you expect for such a cheap price.",4,Chris Miller,2017-12-12
217,liked them enough to order four more,Bought two of these...liked them enough to order four more. Recently opened a two pack of the second ones I ordered. Good light overall not great. Disappointed to find out one flashlight doesn't work out of the box brand new. Would've given five stars based on the value. Not an extremely bright light but better than average considering price. They also burn through AAA batteries quickly. Can't get past only getting half of what I paid for...that kills the value part that compensated for the average brightness.,3,Dan,2017-07-10
218,easy to use,"They are small and light, easy to use. The best thing I like is it only need one battery, not three.",5,Jessie,2017-05-31
221,Arrived very quickly and seem to be a good product. I admit they were smaller than I ...,"Arrived very quickly and seem to be a good product. I admit they were smaller than I expected, but that worked out okay because they're a good size to carry in  a pocket.",4,markfp,2018-04-09
222,Five Stars,Great little light; good beam quality; heavy duty case.,5,Penny Lane,2017-09-17
223,Five Stars,BRIGHT! (and small),5,NPK,2018-01-27
225,Compact and useful,"These are compact size flashlights, fit in palm.  3 light levels with click of button at the end of flash light. It is good for daily use to keep in the pocket for emergencies or just for walking the dog at night. Recommended",5,LL,2018-04-09
227,This flashlight is super bright. I can have my bathroom light off,"This flashlight is super bright. I can have my bathroom light off, which is in the middle of the house so very dark, and this light will light the whole room up. you can see just like the light was on. This light is amazing!",5,Summy,2018-03-28
228,Police grade luminescence,So bright it can be used as a weapon,5,ODB,2017-11-01
230,This is a great mini flashlights,"This is a great mini flashlights! The size is small and fits so comfortable in my hand or put in my pocket. Also they are so bright than i expect. Very reasonable price for two, five stars!",5,Cindy ,2018-03-31
231,I like this pack of flashlight so much,"I like this pack of flashlight so much!! It comes 4 pieces in one package. Also it is very convenient to carry, you can also clip on your pocket!! The light is bright! I will consider buying another set.",5,JinnyRoseto,2017-05-30
233,Worked well and were priced well.,"Worked well and were priced well.  The lights are bright, they include a strobe light and a wide to narrow beam focus and a belt clip.  They are made well from sturdy metal with no plastic parts.",5,Chuck1545,2017-06-29
234,Great sporting flashlights,"These are great flashlights. They are perfect for any outdoor activity - hunting, fishing, walking your dog and picking up poop... They are heavy duty so they can be packed in your gear and will stand up to the rugged outdoors.",5,Twinmom,2017-02-17
235,"Superb quality, extremely bright flashlight","Superb quality, extremely bright flashlight at an astoundingly low price. You will NOT be disappointed. I have them all over the house and in every car...ended up buying 8 of them.",5,Michael Salemi,2017-11-04
236,Big beam in small package,These are great little lights and put out a big adjustable magnified beam. They last about 3 years before switch or other problems develop but worth every bit of the money paid.,4,BobR,2017-09-05
237,Nice bright compact light for the price,"Nice bright compact light for the price.  The focused beam is an odd square shape, but not an issue for me.  Have been using for about 3 months and seem to be good quality.  Will buy more.",5,Buckeye,2017-11-25
238,Very fast shipping!,This is probably the best and most compact set of flashlights I've ever owned! I don't like candles so they are perfect for power outages and I'm always losing things so the ultra brightness is very effective for that too!,5,Charles J. Cole,2017-03-04
239,Great buy. Good price and they have three modes,Great buy. Good price and they have three modes. Low high and sos.  They also come with zoom that will allow more light and will put up a nice square when you pull the front on the flash light forward.,5,Ulysses gonsalez,2017-11-08
240,This little lights are awesome!,"These are my favorite! Very bright, compact, and zoomable. Plus they come in 2 pack. One for the car, and one for home. These are awesome for their price.",5,Josh B.,2018-02-03
241,Five Stars,Awesome lights!,5,bob k.,2017-12-17
242,Bought before hurricane Irma. Wanted led flashlights. Small ...,"Bought before hurricane Irma. Wanted led flashlights.  Small enough to fit in pocket.  They were exactly what we needed , as our power was off several days.Don't overlook this pair of mini flashlights. They do the job.",5,CJ,2017-09-13
243,Great item to have,"Great item to have. They are so compact that you can carry one in your purse, bag, or car, and not worry about it taking up much room at all. Easy on/off button for someone with arthritis, or a young child.",5,dee burdick-desanti,2017-04-10
244,Nice flashlight,Love the size of these flashlights. Makes them easy to carry with you until you need it. Nice that they come in a pair. Can put one in my purse and one in the car. Very bright for the size it is.,5,Kandra Spaulding,2017-06-06
245,i was looking for something to keep in my vehicle that wasnt big but was still bright wnought ro get the job down and this is th,"these are the bigest bang for youe buck. very very bright. i was looking for something to keep in my vehicle that wasnt big but was still bright  wnought ro get the job down and this is the PERFECT flash light for that!I have no relation to the seller, this is my honest opinion. :)",5,Deborah kriket,2017-03-15
